gene,log2FC,p_value,FDR,C1_mean,C1_n,C2_mean,C2_n
NUDT4B,0.0672,0.854008,0.930215,0.2293,28,0.1621,6
GLYATL1B,1.3694,0.000374,0.005457,0.1145,11,-1.255,15
UBE2L5,0.2776,0.299847,0.542875,-0.1678,14,-0.4453,4
RBM47,-0.2394,0.1986,0.426281,0.075,37,0.3144,12
UBA6,0.0662,0.573123,0.768045,0.1643,71,0.0981,40
ESYT2,-0.1943,0.089242,0.26196,0.0092,52,0.2035,34
BLTP3B,-0.0271,0.815951,0.910003,0.1389,33,0.166,17
SHTN1,0.4873,0.010933,0.065734,0.2809,63,-0.2064,35
SLC5A10,-0.1271,0.925617,0.966327,0.3507,8,0.4778,3
TMEM223,0.162,0.386417,0.62431,0.5946,13,0.4326,4
TMEM82,0.1988,0.682742,0.835911,-0.849,6,-1.0478,2
HACL2,0.4715,0.006234,0.043906,-0.045,61,-0.5164,28
PLEKHG3,0.0996,0.768713,0.884794,0.1694,8,0.0698,7
NUTM2F,-0.6885,0.138936,0.347973,-0.2675,9,0.421,2
SSC5D,-0.2991,0.46898,0.693661,-0.2393,5,0.0599,5
SH3PXD2B,-0.2738,0.455609,0.683164,0.219,5,0.4928,7
CIBAR1,-0.8401,0.025096,0.116324,-0.0684,15,0.7717,10
NBAS,0.1141,0.245798,0.487615,0.2241,67,0.11,34
HEATR9,0.3458,0.390789,0.627384,0.1268,5,-0.219,3
FUOM,0.3312,0.07316,0.230962,0.1388,21,-0.1925,6
VWA8,0.4989,3.2e-05,0.000775,0.1647,74,-0.3343,41
SBNO1,-0.1659,0.573035,0.768227,-0.1119,13,0.054,8
CRPPA,0.0026,0.994612,0.997666,-1.0376,2,-1.0402,3
FAM221A,0.2275,0.633246,0.806099,-0.2194,2,-0.4469,3
GTPBP10,0.2513,0.351144,0.593166,0.5519,16,0.3006,7
WDR91,-0.4154,0.057545,0.199676,-0.065,30,0.3504,17
DENND11,0.0541,0.636252,0.807976,0.1337,21,0.0796,12
MTMR11,0.4395,0.359286,0.60144,-0.1327,7,-0.5721,4
POTEF,-0.119,0.237621,0.47803,0.2854,73,0.4043,37
CFAP69,2.0716,0.164233,0.381523,0.7791,2,-1.2926,2
TRAPPC13,-0.0202,0.863129,0.934069,0.3602,19,0.3804,10
CNOT1,-0.2066,0.01133,0.067292,0.2155,62,0.4221,29
BDP1,0.1386,0.850109,0.929066,-0.1808,4,-0.3194,2
CCDC88B,-0.152,0.804463,0.904247,-0.1035,21,0.0485,5
MAP1LC3B2,0.6101,0.060466,0.206471,0.3394,3,-0.2706,5
C2orf72,0.2926,0.379726,0.618746,0.0457,25,-0.2469,6
SACK1G,0.049,0.844343,0.926306,0.1168,6,0.0679,13
ASPDH,0.0443,0.875206,0.941643,-0.3569,58,-0.4012,29
PALM3,0.4998,0.000431,0.006075,-0.2565,70,-0.7563,29
RBMY1B,-1.0978,0.139139,0.348229,-0.3416,2,0.7562,3
PGP,0.3066,0.056533,0.197462,0.3579,25,0.0513,16
RIMOC1,-0.202,0.775213,0.887658,0.2652,17,0.4672,3
BTBD17,-0.0112,0.973376,0.987775,1.3172,5,1.3284,8
RCCD1,0.17,0.712361,0.85344,-0.0181,26,-0.1881,4
SOWAHB,0.828,0.003544,0.029577,0.0587,7,-0.7693,2
TCAF2,-0.3426,0.383374,0.622472,-0.3696,16,-0.027,21
SDHAF1,1.2516,0.002898,0.025623,0.5285,6,-0.7231,4
IGLON5,-0.1848,0.699635,0.846174,0.266,13,0.4508,7
TUBAL3,-0.2283,0.438775,0.66993,0.1823,17,0.4107,9
FBLL1,0.2114,0.493854,0.711881,0.3111,13,0.0996,7
SMCHD1,-0.238,0.066635,0.217881,0.2,49,0.438,28
ARHGAP42,0.0033,0.980528,0.991367,0.1771,17,0.1738,9
UNC119B,-0.4156,0.211353,0.443388,-0.0433,4,0.3723,6
METTL15,0.4128,0.039315,0.157079,0.4216,27,0.0087,9
GLOD5,0.4033,0.100278,0.283088,0.0721,8,-0.3312,2
ASB14,-0.4395,0.057902,0.200406,-0.0519,2,0.3876,3
CCDC85C,0.1444,0.500391,0.715589,0.576,13,0.4316,7
TTC36,0.4306,0.126659,0.329122,-0.5026,38,-0.9333,16
VSTM2B,-0.289,0.267471,0.511813,0.3845,3,0.6734,2
COL6A6,-0.2776,0.401975,0.638321,-0.7478,30,-0.4702,10
NUTM2B,0.1458,0.76508,0.882983,-0.181,2,-0.3268,2
ENO4,0.3402,0.430504,0.662463,0.2919,2,-0.0483,2
RTL8C,-0.5184,0.178209,0.400037,-0.1146,2,0.4038,3
ZSWIM8,-0.0761,0.88486,0.944475,0.0775,20,0.1535,4
MYH7B,-0.6828,0.415088,0.648634,0.369,10,1.0518,3
WASHC1,0.6565,0.001399,0.014657,0.1979,20,-0.4586,13
ZNF850,-0.3092,0.638475,0.809301,0.0503,3,0.3595,2
ZNF891,0.3553,0.602615,0.787718,0.2813,5,-0.0741,2
CEBPZOS,0.3626,0.573554,0.768022,0.4499,7,0.0873,2
ZNF705G,0.1076,0.779966,0.891019,0.4842,2,0.3766,3
NUDT19,0.0165,0.938013,0.973049,0.0927,42,0.0762,14
CDRT15L2,-0.286,0.399697,0.635881,-0.3477,2,-0.0617,3
KCNU1,0.03,0.909998,0.958481,-0.6717,3,-0.7016,6
KPNA7,0.1938,0.382473,0.621745,0.335,7,0.1411,5
MIF4GD,0.1564,0.350616,0.592566,0.1814,9,0.0251,9
MYO1G,-0.6398,0.006911,0.047365,0.0055,22,0.6453,16
ESPN,0.662,0.149112,0.361068,0.4041,12,-0.2579,10
SEC14L6,-0.0117,0.964666,0.98447,-0.212,3,-0.2003,4
RABGAP1L,-0.65,0.149636,0.361701,0.3135,6,0.9635,4
GPHRA,0.633,0.025283,0.116955,0.3973,27,-0.2357,15
PPP1R3G,0.8126,0.014416,0.078928,0.3739,20,-0.4387,7
IGLL5,-0.3801,0.006939,0.047414,-0.0414,71,0.3387,40
AJM1,0.035,0.943363,0.975648,1.0174,5,0.9825,4
RASA4B,-1.9044,0.02674,0.121725,-0.9466,2,0.9578,3
MCRIP1,-0.5027,0.201214,0.429474,0.2986,10,0.8013,4
MEIOSIN,-0.4679,0.259024,0.503801,0.1644,2,0.6323,2
CFAP99,-0.1048,0.834187,0.92076,0.0538,2,0.1586,3
