gene,C1_s1,C1_s2,C1_s3,C1_s4,C1_s5,C2_s1,C2_s2,C2_s3,C2_s4,C2_s5
GLYATL1B,0.65,-0.0346,0.8128,1.7566,-0.138,-1.5074,0.4476,-0.4276,-1.7612,-0.67
SOWAHB,-0.2305,-0.232,0.2097,-1.1354,-1.0179,-1.1202,-1.4014,-0.5732,-1.336,-1.6508
SDHAF1,1.4763,0.3825,0.5722,-0.3928,0.1765,-0.6514,-1.4674,-0.4801,-1.1115,-0.9117
WASHC1,-0.0819,1.0592,0.1916,-0.2939,0.5804,-1.0263,-0.3615,-1.3698,-1.0762,-0.3671
MYO1G,0.5029,0.1209,-0.0724,-0.1973,-0.9903,0.1605,0.335,1.3573,0.8767,-0.5421
TK2,0.7945,0.4718,0.3389,0.9254,1.1162,0.1048,-0.7009,-0.4597,-0.1682,0.125
HAX1,0.4314,0.5907,0.0911,0.0423,1.1323,0.8467,0.0717,0.6553,0.307,-0.2392
LGALS8,1.2007,2.0403,0.9172,2.0593,-0.9266,0.4494,-0.075,-0.3505,-0.0716,-1.5554
MEN1,0.0743,0.4715,1.2432,-0.1313,-0.3311,-1.0135,-0.0377,-0.4416,-1.0328,-0.3146
PGRMC1,0.3324,0.9263,-0.212,0.043,-0.0009,-1.4725,-0.2735,-0.2974,-0.4718,-0.6351
TAF4,-0.7549,-0.0337,0.0228,-0.3104,0.1544,1.1213,2.1959,0.955,1.0151,0.7744
PLOD2,-1.3739,0.0402,0.105,1.9007,-0.0837,1.1324,0.8812,0.0338,1.7611,1.469
COXFA4,0.4811,-1.0597,1.0354,-1.5059,0.2961,0.9099,-1.9724,-1.588,-0.9846,-1.5311
FAAH,-0.8928,0.3093,-0.5302,0.61,-0.4241,0.5136,-1.2185,-0.8761,-0.0331,-1.5508
PES1,0.0326,0.615,-0.9573,0.0095,0.0501,1.225,0.1359,0.0909,1.0848,0.9634
RNASET2,-0.155,-0.0906,-0.7798,-0.1673,-0.1264,-0.0005,1.7317,0.7972,-0.3207,0.9199
PIR,0.0132,1.067,1.2892,0.1053,1.1724,0.2388,0.4836,1.1264,-0.1549,-0.4589
CES2,-0.5331,-0.4681,0.1839,0.5531,0.4962,-0.4212,-1.1398,0.1317,-1.3849,1.2497
FBP2,0.6477,-0.8533,-1.0696,0.5028,-0.2118,-0.7598,-1.0036,-1.5563,-2.3398,-3.016
ACACB,-0.6212,0.232,-0.1886,-1.1445,-0.2154,-0.6667,-1.4977,-0.8183,-0.8809,-1.6674
NRG2,0.2902,0.4861,0.9899,0.9617,-1.3842,0.8258,2.2275,2.2263,2.2275,5.4478
KMT2D,0.4813,0.7602,0.6705,0.521,0.0434,1.2401,0.4833,0.7481,0.6253,0.9056
HSD17B6,1.9002,-1.5042,0.5746,-1.2969,-0.3683,-0.1816,-1.0158,-1.9454,-1.6504,-0.5149
BCKDK,-0.532,0.2425,0.1027,-0.4676,1.8191,-0.2206,-2.3956,-0.5866,-1.2804,-0.0418
IFIT3,-0.3177,0.0267,0.3416,0.5249,-0.5249,-0.7378,-0.8091,-0.8998,0.3292,-0.362
SLC27A2,-1.1699,0.4981,1.4201,0.5858,-1.3678,-1.297,0.0436,-1.4681,-0.5865,-0.3332
HNRNPDL,-0.2949,0.1986,-1.6118,-0.3504,0.0888,0.143,1.7819,0.0392,0.6026,0.9274
